ALLENTSTEIG,0-20000-0-11019|primary,48.6908333333,15.3669444444
FREISTADT,0-20000-0-11015|primary,48.5061111111,14.5061111111
GARS AM KAMP,0-20000-0-11023|primary,48.5955543518,15.6677780151
LEISER BERGE,0-20000-0-11083|primary,48.5588874817,16.3716659546
LITSCHAU,0-20000-0-11021|primary,48.9547233582,15.0383329391
MISTELBACH,0-20000-0-11332|primary,48.5708333333,16.6094444444
POYSDORF,0-20000-0-11032|primary,48.6691665649,16.6375007629
RETZ,0-20000-0-11022|primary,48.7611122131,15.9416666031
ROHRBACH,0-20000-0-11008|primary,48.5672225952,14.0044441223
STIFT ZWETTL,0-20000-0-11020|primary,48.6177777778,15.2036111111
WEITRA,0-20000-0-11025|primary,48.7022209167,14.8986110687
BRNO/TURANY,0-20000-0-11723|primary,49.1530555556,16.6888888889
C. BUDEJOVICE-ROZNOV,0-20000-0-11546|primary,48.9519444444,14.4697222222
CASLAV,0-20000-0-11624|primary,49.9408333333,15.3863888889
CERVENA U LIBAVE,0-20000-0-11766|primary,49.7772222222,17.5419444444
CHEB,0-20000-0-11406|primary,50.0683333333,12.3913888889
CHURANOV,0-20000-0-11457|primary,49.0683333333,13.6152777778
DOKSANY,0-20000-0-11509|primary,50.4588888889,14.17
DUKOVANY,0-20000-0-11693|primary,49.0955555556,16.1344444444
HOLESOV,0-20000-0-11774|primary,49.3205555556,17.57
HOSTALKOVA-MARUSKA,0-20000-0-11791|primary,49.365277778,17.82861111
JICIN,0-20000-0-11609|primary,50.43944444,15.3525
KARLOVY VARY,0-20000-0-11414|primary,50.2016666667,12.9141666667
KOCELOVICE,0-20000-0-11487|primary,49.4672222222,13.8386111111
KOPISTY,0-20000-0-11433|primary,50.5441666667,13.6227777778
KOSETICE,0-20000-0-11628|primary,49.5736111111,15.0805555556
KOSTELNI MYSLOVA,0-20000-0-11636|primary,49.1591666667,15.4391666667
KUCHAROVICE,0-20000-0-11698|primary,48.8811111111,16.0852777778
LIBEREC,0-20000-0-11603|primary,50.7697222222,15.0238888889
LUKA,0-20000-0-11710|primary,49.6522222222,16.9533333333
LYSA HORA,0-20000-0-11787|primary,49.5461111111,18.4475
MILESOVKA,0-20000-0-11464|primary,50.555,13.9308333333
NAMEST NAD OSLAVOU,0-20000-0-11692|primary,49.1708333333,16.1205555556
OSTRAVA/MOSNOV,0-20000-0-11782|primary,49.69194444,18.11277778
PARDUBICE,0-20000-0-11652|primary,50.0161111111,15.7402777778
PEC POD SNEZKOU,0-20000-0-11643|primary,50.6919444444,15.7288888889
PLZEN-MIKULKA,0-20000-0-11450|primary,49.7647222222,13.3788888889
POLOM,0-20000-0-11669|primary,50.3502777778,16.3222222222
PRAHA-KARLOV,0-20000-0-11519|primary,50.0691666667,14.4277777778
PRAHA-KBELY,0-20000-0-11567|primary,50.1233333333,14.5380555556
PRAHA-LIBUS,0-20000-0-11520|primary,50.0077777778,14.4469444444
PRAHA/RUZYNE,0-20000-0-11518|primary,50.1002777778,14.2555555556
PRIBYSLAV,0-20000-0-11659|primary,49.5827777778,15.7625
PRIMDA,0-20000-0-11423|primary,49.6694444444,12.6780555556
PROSTEJOV,0-20000-0-11747|primary,49.4525,17.1347222222
RADAR Brdy-Praha,0-20000-0-11480|primary,49.6577777778,13.8177777778
RADAR Skalky,0-20000-0-11718|primary,49.5008333333,16.7897222222
SERAK,0-20000-0-11730|primary,50.1875,17.1083333333
SNEZKA,0-20000-0-11653|primary,50.7358333333,15.7402777778
SVRATOUCH,0-20000-0-11683|primary,49.735,16.0341666667
TEMELIN,0-20000-0-11538|primary,49.1977777778,14.3422222222
TUSIMICE,0-20000-0-11438|primary,50.3766666667,13.3280555556
USTI NAD LABEM,0-20000-0-11502|primary,50.6833333333,14.0411111111
USTI NAD ORLICI,0-20000-0-11679|primary,49.9802777778,16.4222222222
ARTERN,0-20000-0-10460|primary,51.374418,11.291962
BAD KISSINGEN,0-20000-0-10658|primary,50.223991,10.079245
BAMBERG,0-20000-0-10675|primary,49.874252,10.920558
Bayreuth (WP),0-20000-0-10678|primary,49.979358,11.680757
CARLSFELD,0-20000-0-10574|primary,50.431251,12.611421
CHEMNITZ,0-20000-0-10577|primary,50.791286,12.871977
DRESDEN (RADAR),0-20000-0-10487|primary,51.12404,13.76347
DRESDEN-KLOTZSCHE,0-20000-0-10488|primary,51.127797,13.754251
EISBERG (RADAR),0-20000-0-10780|primary,49.540667,12.402788
EISENACH,0-20000-0-10540|primary,51.000736,10.36211
ERFURT-WEIMAR,0-20000-0-10554|primary,50.982887,10.960753
FEUCHTWANGEN-HEILBRONN,0-20000-0-10756|primary,49.162297,10.366126
FICHTELBERG,0-20000-0-10578|primary,50.428295,12.953583
FUERSTENZELL,0-20000-0-10895|primary,48.545114,13.353159
GELBELSEE,0-20000-0-10777|primary,48.948116,11.428929
GERA-LEUMNITZ,0-20000-0-10567|primary,50.881208,12.128885
GOERLITZ,0-20000-0-10499|primary,51.162129,14.950606
GOTTFRIEDING,0-20000-0-10872|primary,48.659461,12.538816
GROSSER ARBER,0-20000-0-10791|primary,49.112887,13.133791
HARBURG,0-20000-0-10850|primary,48.791834,10.706234
HOF,0-20000-0-10685|primary,50.312257,11.876039
HOYERSWERDA,0-20000-0-10495|primary,51.449238,14.25327
INGOLSTADT-MANCHING,0-20000-0-10860|primary,48.711147,11.536252
KUEMMERSBRUCK,0-20000-0-10771|primary,49.428348,11.90159
LAUTERTAL-OBERLAUTER,0-20000-0-10671|primary,50.306639,10.967938
LEINEFELDE,0-20000-0-10449|primary,51.393197,10.312349
LEIPZIG-HOLZHAUSEN,0-20000-0-10471|primary,51.31509,12.446226
LEIPZIG/HALLE,0-20000-0-10469|primary,51.434711,12.239585
LICHTENHAIN-MITTELNDORF,0-20000-0-10591|primary,50.938325,14.20938
MARIENBERG,0-20000-0-10579|primary,50.651055,13.146876
MEININGEN,0-20000-0-10548|primary,50.561131,10.377137
NEUBURG AN DER DONAU,0-20000-0-10853|primary,48.708492,11.214669
NEUHAUS AM RENNWEG,0-20000-0-10557|primary,50.500253,11.13446
NUERNBERG,0-20000-0-10763|primary,49.503031,11.054923
OSCHATZ,0-20000-0-10480|primary,51.29598,13.09283
OSTERFELD,0-20000-0-10565|primary,51.087267,11.929279
PLAUEN,0-20000-0-10569|primary,50.481832,12.130043
REGENSBURG,0-20000-0-10776|primary,49.042482,12.101943
ROTH,0-20000-0-10765|primary,49.216232,11.103514
SCHLEIZ,0-20000-0-10564|primary,50.567906,11.804085
SCHMUECKE,0-20000-0-10552|primary,50.654518,10.769601
STRAUBING,0-20000-0-10788|primary,48.827504,12.559695
WALDMUENCHEN,0-20000-0-10782|primary,49.390952,12.683802
WEIDEN/OBERPFALZ,0-20000-0-10688|primary,49.666221,12.184448
WEISSENBURG-EMETZHEIM,0-20000-0-10761|primary,49.01153,10.930837
WUNSIEDEL-SCHOENBRUNN,0-20000-0-10686|primary,50.031507,11.974501
ZINNWALD-GEORGENFELD,0-20000-0-10582|primary,50.731347,13.751612
ZWIESEL,0-20000-0-10796|primary,49.028013,13.238509
JELENIA GORA,0-20000-0-12500|primary,50.9002777778,15.7888888889
KLODZKO,0-20000-0-12520|primary,50.4369444444,16.6141666667
LEGNICA,0-20000-0-12415|primary,51.1930555556,16.2075
OPOLE,0-20000-0-12530|primary,50.6269444444,17.9688888889
RACIBORZ,0-20000-0-12540|primary,50.0616666667,18.1916666667
RADAR Pastewnik,0-20000-0-12554|primary,50.8925,16.0394444444
RADAR Ramża,0-20000-0-12514|primary,50.1513888889,18.725
SNIEZKA,0-20000-0-12510|primary,50.7361111111,15.7394444444
WIELUN,0-20000-0-12455|primary,51.2111111111,18.5577777778
WROCLAW II,0-20000-0-12424|primary,51.1033333333,16.9
WROCLAW-STARACHOWICE,0-20000-0-12425|primary,51.1130555556,16.8811111111
PIESTANY,0-20000-0-11826|primary,48.6166666667,17.8333333333
PRIEVIDZA,0-20000-0-11867|primary,48.7666666667,18.6
ZILINA/HRICOV,0-20000-0-11841|primary,49.2325,18.6142
